company,유동비율,자기자본비율,부채비율,총자산회전율,총자산증가율,매출액증가율,순이익증가율,기준년도
매스프레소,1641.445115,93.52725626,6.920703116,2.6970988,110.9956169,267.271494,114.6649188,2021
코어라인소프트,507.0938472,82.00100062,21.9497314,14.35260926,42.57348637,-5.888105945,54.40946757,2021
케이웨더,103.348797,27.33949982,265.7711394,69.52828642,14.41334699,-0.962932387,-6.832268538,2021
제노플랜코리아,549.5775839,82.3991388,21.3604917,53.37466672,0,0,0,2019
제너레잇,66.21561645,-16.95050164,-689.9530418,11.82008803,-42.50689853,0,144.915373,2021
자비스앤빌런즈,12.60079365,-826.803208,-112.0947765,225.5786764,1683.22336,779.7140475,-335035.8122,2021
인피닉,174.3720685,29.27044407,241.641554,125.1759247,64.68366678,-7.765839563,-376.6802519,2021
인코어드테크놀로지스,148.6160118,11.75524186,750.6843265,164.7167345,-13.35268015,65.50045513,22.78551765,2021
에이아이트릭스,152.6716836,24.17683506,313.6190686,0.384538766,20.55131175,-97.10542874,76.57761589,2021
원프레딕트,22.14210254,-211.0590818,-147.3800981,17.51186333,-8.617450033,103.9363866,456.7132297,2021
오브젠,225.745794,7.732212325,1193.290921,177.1949929,-6.583335312,32.88555339,20.77313545,2021
오드컨셉,783.1131123,87.00614292,14.93441342,12.63229357,-5.25442553,-59.14877171,105.8263433,2021
에이젠글로벌,157.0149547,55.20132738,81.15506412,49.65567844,62.20291167,59.16691845,-199.453277,2021
에어스메디컬,852.3513222,83.13437975,20.28717879,0.461084665,-56.93602193,-97.47349894,110.0203719,2021
에덴룩스,4996.774674,73.28530227,36.45300886,31.52355195,21.50346896,489.3007852,716.5320702,2021
토르드라이브,171.4389008,-12.26815038,-915.1187984,87.04668067,112.1185868,-33.12747624,856.1629479,2021
클레온,3044.11851,92.46607146,8.147776178,8.532311768,1378.707151,1388.428,68.51589496,2021
클라리파이,138.4640899,55.24920237,80.99808815,8.180949084,104.981598,-56.19030342,75.00208571,2021
크래프트테크놀로지스,116.4847794,20.59045582,385.6619051,9.451379664,7.969623493,59.90295117,105.4361604,2021
팜캐드,35.63712178,-97.95703806,-202.0855693,0.581862234,144.8100611,0,90.72762669,2021
트위니,692.8297231,77.81474387,28.51035039,16.51188671,380.9138738,122.520386,35.28715189,2021
튜링,1538.138608,92.92175041,7.617430324,0.86990571,574.7857414,0,216.2728076,2021
토모큐브,41.01004799,-124.2205065,-180.5020063,5.42433524,123.6489338,89.38004631,71.89279137,2021
히츠,2600.044484,94.15910908,6.203213881,4.833425347,260.7850027,-31.25010796,-1662.097429,2021
휴톰,865.2702832,90.08135478,11.01076382,0.683392254,113.2590183,749.1704098,67.68830182,2021
휴레이포지티브,47.45850628,50,100,15.45179004,45.94615014,-42.93917893,-524.8197011,2021
한국축산데이터,619.5538269,85.36192319,17.14825095,32.0044537,239.1107946,334.7062293,1763.530218,2021
알티엠,613.1534597,88.36849863,13.16249744,204.7449589,-18.31192367,143.5556054,-168.9732545,2021
아카에이아이,129.8868594,-300.9388841,-133.2293383,38.37629179,-78.0829969,36.14573879,137.8867999,2021
아이오크롭스,377.6917943,74.34159186,34.51420328,20.29870786,270.174288,184.5496378,468.5791473,2021
아이딕션,59.59838057,19.38579655,415.8415842,30.96488653,343.213435,540.4458698,-114.5714199,2021
쓰리빌리언,1490.253861,90.8876111,10.02599671,2.674543988,17.92801537,2095.259927,219.5847854,2021
