name,similars
네오사피엔스,"['오드컨셉', '스켈터랩스', '슈퍼브에이아이', '히츠', '플리토', '매스프레소', '리벨리온', '딥바이오', '제너레잇', '셀렉트스타']"
넷타겟,"['에어스메디컬', '아이오크롭스', '케이웨더', '코어라인소프트', '아드리엘', '셀렉트스타', '클라리파이', '에스투더블유', '트위니', '에이모']"
노타,"['셀렉트스타', '스프링클라우드', '트웰브랩스', '딥핑소스', '쓰리빌리언', '뉴빌리티', '포지큐브', '룰루랩', '제이엘케이', '니어스랩']"
뉴로핏,"['마이셀럽스', '에이젠글로벌', '원프레딕트', '휴톰', '씨앤에이아이', '아이지넷', '매스프레소', '토모큐브', '라이드플럭스', '모빌테크']"
뉴빌리티,"['에이젠글로벌', '노타', '룰루랩', '애자일소다', '서울로보틱스', '알체라', '제너레잇', '에어스메디컬', '인터마인즈', '커먼컴퓨터']"
니어스랩,"['딥엑스', '모빌린트', '에덴룩스', '클레온', '자비스앤빌런즈', '스트라드비젼', '리플에이아이', '플리토', '노타', '지란지교시큐리티']"
더웨이브톡,"['서울로보틱스', '아이지넷', '뷰노', '로앤컴퍼니', '셀렉트스타', '레드브릭', '에스투더블유', '스타일봇', '디오비스튜디오', '아이딕션']"
더화이트커뮤니케이션,"['플리토', '클라리파이', '스탠다임', '뷰노', '수퍼빈', '코어라인소프트', '스누아이랩', '제네시스랩', '업스테이지', '콰라소프트']"
디사일로,"['서울로보틱스', '한국축산데이터', '아크릴', '히츠', '스마트레이더시스템', '트웰브랩스', '마키나락스', '솔루게이트', '메디픽셀', '제너레잇']"
디오비스튜디오,"['메디픽셀', '아카에이아이', '스탠다임', '더웨이브톡', '브이터치', '레드브릭', '뷰노', '오브젠', '마인즈랩', '트위니']"
딥바이오,"['제네시스랩', '네오사피엔스', '시어스랩', '뤼이드', '알고리즘랩스', '튜링', '임프리메드', '보이저엑스', '모빌테크', '오드컨셉']"
딥엑스,"['니어스랩', '뤼이드', '브이터치', '리벨리온', '매스프레소', '오브젠', '슈퍼브에이아이', '업라이즈', '몰로코', '포지큐브']"
딥핑소스,"['인공지능연구원', '보이저엑스', '쓰리빌리언', '노타', '매스프레소', '셀렉트스타', '제너레잇', '아이딕션', '코어라인소프트', '리벨리온']"
라이드플럭스,"['로앤컴퍼니', '스마트레이더시스템', '모두의연구소', '토모큐브', '솔루게이트', '알고리즘랩스', '뉴로핏', '셀렉트스타', '마이셀럽스', '업스테이지']"
