,company,keyword
0,네오사피엔스,"['콘텐츠 제작', '음성 데이터', '가상 인간', 'AI 음성 생성', '성우', '음성 생성', '라이브 커머스', '가상 연기자', '더빙', 'AI 보이스', 'AI', 'AI 성우', '영상 합성', '인공지능', '딥러닝', '음성', '영상', '콘텐츠', '목소리', '음성 합성']"
1,넷타겟,"['연구개발', '약학', '신약', '의학', '바이오마커', '당단백질 분석', 'AI', '인공지능']"
2,노타,"['사물인터넷', '안면 인식', '응용 소프트웨어', '딥러닝 모델 경량화 기술', '최적화', 'IoT', 'AI', '교통 분석', '딥러닝 모델 최적화 솔루션', 'AI모델 경량화 기술', '경량화', '인공지능']"
3,뉴로핏,"['응용 소프트웨어 개발', '알츠하이머', 'MRI', '뇌질환 솔루션', '뇌 PET 영상', '영상 분석 기술', 'AI 솔루션', '영상 자동 분석', '뇌영상 분석 기술', '뇌질환 진단', '영상 분석 솔루션', 'AI 분석 솔루션', 'AI', '뇌 영상 분석', '인공지능']"
4,뉴빌리티,"['로봇', 'AI', '스마트시티', '자율주행', 'RaaS']"
5,니어스랩,"['자율비행 드론', '안전 점검 솔루션', '인공지능', '디지털 트윈 솔루션', '드론', 'AI', '자율비행']"
6,더웨이브톡,"['스마트홈', '박테리아', '실시간 판단', '워터톡', '종류 판단', '수질 센서', '검사', '레이저', '실시간', '검출', 'IoT', '박테리아 센서', '미생물']"
7,더화이트커뮤니케이션,"['정보', '이메일', '컴퓨터', '마케팅', '기부', '음성', '텍스트', '콜센터', '클라우드', '소프트웨어', '채팅', 'AI', '기술', '서비스', '인공지능']"
8,디사일로,"['AI', '데이터 분석', '블록체인', '머신러닝']"
9,디오비스튜디오,"['버추얼휴먼', 'NFT', '가상 얼굴', '딥러닝', '버추얼 휴먼', 'AI', '가상얼굴', '가상인간', '인공지능']"
10,딥바이오,"['AI', '응용 소프트웨어 개발', '암체외진단', '인공지능']"
11,딥엑스,"['연구', '웨이퍼', 'SoC', 'AR', '자율주행차', '스마트 카메라', 'NPU', '시제품 제작', '메모리', '로봇', '이미지 센서', '객체인식 알고리즘', '보안카메라', '연산', 'MPW', '스마트 CCTV', '반도체', 'AI', '개발', '인공지능', 'VR']"
12,딥핑소스,"['영상 데이터', '영상 익명화', '비식별화 기술', '얼굴', '개인정보 침해', '데이터 익명화', '새인정보', '학습용 데이터', '개인 정보 보호', '익명화', '스마트시티', '개인정보', '개인정보 비식별화', '데이터 판매', '영상 데이터 비식별화', 'AI', '비식별화', '데이터 비식별화', '영상', '영상분석', '데이터', '영상 데이터 익명화', '소프트웨어']"
13,라이드플럭스,"['AI', '데이터 분석', '자율주행']"
14,레드브릭,"['메타버스', '소프트웨어', '에듀테크']"
15,로보코리아,"['목소리 제작', '텍스트 음성변환', '음성 복제', '음성합성', '메타버스', 'AI', '머신러닝']"
16,로앤컴퍼니,"['법률 서비스 플랫폼', '법률 AI', '광고 및 솔루션 판매', '리걸테크', 'AI', '법률', '인공지능']"
17,루닛,"['AI 기반 병리분석', '의료 영상 진단', 'AI 바이오마커', 'AI 영상분석', '디지털헬스케어', '의료 인공지능(AI)', 'AI']"
18,룰루랩,"['뷰티AI', '피부 데이터', '디지털 의료기기', '피부', '피부질환', '모바일', '헬스케어', '디지털치료기기', '피부질환AI', '뷰티', '모바일 측정', '피부관리', 'AI 피부 분석', 'AI', '인공지능', '화장품', '의료AI', '디지털의료기기', '피부 분석']"
19,뤼이드,"['인공지능(AI) 교육', '인공지능', '초개인화 학습', '에듀테크', '개인 맞춤 학습', 'AI 튜터', 'AI 교육 솔루션', 'AI', '교육기술', 'AI튜터']"
